year,scenario,forest_cooling_function,soil_microbe_function,soil_water_retention,evapotranspiration_function,ocean_biological_sink,vertical_circulation_function,water_phase_transition_cooling,carbon_sink_capacity,heat_load_index,cooling_credit_intervention,carbon_credit_strength,natural_cooling_function
2015,A,78.0,72.0,74.0,76.0,80.0,82.0,77.0,75.0,40.0,2.0,15.0,77.0
2016,A,76.25,70.38,72.38,74.38,78.65,80.72,75.38,73.25,41.56,2.3,17.0,75.45
2017,A,74.73,68.98,70.98,72.98,77.48,79.61,73.98,71.73,43.34,2.6,19.0,74.1
2018,A,73.29,67.65,69.65,71.65,76.37,78.55,72.65,70.29,45.21,2.9,21.0,72.83
2019,A,71.89,66.36,68.36,70.36,75.3,77.54,71.36,68.89,47.15,3.2,23.0,71.6
2020,A,70.53,65.11,67.11,69.11,74.26,76.54,70.11,67.53,49.14,3.5,25.0,70.39
2021,A,69.2,63.88,65.88,67.88,73.23,75.57,68.88,66.2,51.17,3.8,27.0,69.22
2022,A,67.89,62.67,64.67,66.67,72.23,74.61,67.67,64.89,53.24,4.1,29.0,68.06
2023,A,66.6,61.48,63.48,65.48,71.23,73.67,66.48,63.6,55.33,4.4,31.0,66.92
2024,A,65.33,60.3,62.3,64.3,70.25,72.74,65.3,62.33,57.45,4.7,33.0,65.79
2025,A,64.07,59.14,61.14,63.14,69.28,71.82,64.14,61.07,59.59,5.0,35.0,64.67
2026,A,62.82,57.99,59.99,61.99,68.32,70.91,62.99,59.82,61.76,5.3,37.0,63.57
2027,A,61.58,56.85,58.85,60.85,67.37,70.0,61.85,58.58,63.95,5.6,39.0,62.48
2028,A,60.36,55.71,57.71,59.71,66.43,69.11,60.71,57.36,66.15,5.9,41.0,61.39
2029,A,59.14,54.59,56.59,58.59,65.49,68.22,59.59,56.14,68.37,6.2,43.0,60.32
2030,A,57.93,53.47,55.47,57.47,64.56,67.33,58.47,54.93,70.61,6.5,45.0,59.25
2031,A,56.73,52.37,54.37,56.37,63.64,66.46,57.37,53.73,72.86,6.8,47.0,58.18
2032,A,55.54,51.27,53.27,55.27,62.72,65.59,56.27,52.54,75.12,7.1,49.0,57.13
2033,A,54.35,50.17,52.17,54.17,61.81,64.72,55.17,51.35,77.4,7.4,51.0,56.08
2034,A,53.17,49.08,51.08,53.08,60.9,63.86,54.08,50.17,79.7,7.7,53.0,55.04
2035,A,52.0,48.0,50.0,52.0,60.0,63.0,53.0,49.0,82.0,8.0,55.0,54.0
2015,B,78.0,72.0,74.0,76.0,80.0,82.0,77.0,75.0,40.0,2.0,15.0,77.0
2016,B,76.45,70.58,72.58,74.58,78.85,80.92,75.58,73.52,41.42,2.5,17.85,75.65
2017,B,75.1,69.36,71.36,73.36,77.86,79.99,74.36,72.23,42.94,3.0,20.7,74.48
2018,B,73.83,68.19,70.19,72.19,76.92,79.1,73.19,71.01,44.5,3.5,23.55,73.37
2019,B,72.6,67.07,69.07,71.07,76.01,78.24,72.07,69.83,46.09,4.0,26.4,72.3
2020,B,71.39,65.97,67.97,69.97,75.12,77.41,70.97,68.68,47.7,4.5,29.25,71.26
2021,B,70.22,64.89,66.89,68.89,74.25,76.59,69.89,67.56,49.32,5.0,32.1,70.23
2022,B,69.06,63.84,65.84,67.84,73.39,75.78,68.84,66.45,50.96,5.5,34.95,69.23
2023,B,67.92,62.79,64.79,66.79,72.55,74.99,67.79,65.36,52.61,6.0,37.8,68.23
2024,B,66.79,61.76,63.76,65.76,71.71,74.2,66.76,64.28,54.27,6.5,40.65,67.25
2025,B,65.67,60.75,62.75,64.75,70.89,73.43,65.75,63.21,55.94,7.0,43.5,66.28
2026,B,64.57,59.74,61.74,63.74,70.07,72.66,64.74,62.15,57.62,7.5,46.35,65.32
2027,B,63.48,58.74,60.74,62.74,69.27,71.9,63.74,61.11,59.3,8.0,49.2,64.37
2028,B,62.39,57.75,59.75,61.75,68.46,71.14,62.75,60.07,60.99,8.5,52.05,63.43
2029,B,61.32,56.77,58.77,60.77,67.67,70.39,61.77,59.04,62.69,9.0,54.9,62.49
2030,B,60.25,55.79,57.79,59.79,66.88,69.65,60.79,58.02,64.4,9.5,57.75,61.56
2031,B,59.18,54.82,56.82,58.82,66.09,68.91,59.82,57.0,66.11,10.0,60.6,60.64
2032,B,58.13,53.86,55.86,57.86,65.31,68.18,58.86,55.99,67.82,10.5,63.45,59.72
2033,B,57.08,52.9,54.9,56.9,64.54,67.45,57.9,54.99,69.54,11.0,66.3,58.81
2034,B,56.04,51.95,53.95,55.95,63.77,66.72,56.95,53.99,71.27,11.5,69.15,57.9
2035,B,55.0,51.0,53.0,55.0,63.0,66.0,56.0,53.0,73.0,12.0,72.0,57.0
2015,C,78.0,72.0,74.0,76.0,80.0,82.0,77.0,75.0,40.0,5.0,15.0,77.0
2016,C,79.47,74.21,76.09,77.97,80.64,82.73,78.84,77.21,41.09,7.5,15.75,78.56
2017,C,80.39,75.59,77.39,79.19,81.11,83.27,79.99,78.59,41.9,10.0,16.5,79.56
2018,C,81.18,76.77,78.51,80.24,81.53,83.75,80.98,79.77,42.63,12.5,17.25,80.42
2019,C,81.89,77.83,79.51,81.19,81.93,84.21,81.86,80.83,43.31,15.0,18.0,81.2
2020,C,82.55,78.82,80.44,82.06,82.31,84.64,82.68,81.82,43.96,17.5,18.75,81.93
2021,C,83.17,79.75,81.32,82.89,82.67,85.05,83.46,82.75,44.58,20.0,19.5,82.62
2022,C,83.75,80.63,82.15,83.67,83.02,85.45,84.19,83.63,45.18,22.5,20.25,83.27
2023,C,84.32,81.48,82.95,84.42,83.36,85.84,84.9,84.48,45.77,25.0,21.0,83.9
2024,C,84.86,82.29,83.72,85.15,83.7,86.22,85.58,85.29,46.34,27.5,21.75,84.5
2025,C,85.39,83.08,84.46,85.85,84.02,86.59,86.23,86.08,46.89,30.0,22.5,85.09
2026,C,85.9,83.84,85.19,86.53,84.34,86.96,86.87,86.84,47.44,32.5,23.25,85.66
2027,C,86.39,84.59,85.89,87.19,84.65,87.32,87.49,87.59,47.97,35.0,24.0,86.22
2028,C,86.88,85.31,86.57,87.83,84.96,87.67,88.1,88.31,48.5,37.5,24.75,86.76
2029,C,87.35,86.02,87.24,88.46,85.26,88.01,88.69,89.02,49.02,40.0,25.5,87.29
2030,C,87.81,86.72,87.9,89.08,85.56,88.36,89.26,89.72,49.53,42.5,26.25,87.81
2031,C,88.26,87.4,88.54,89.69,85.86,88.69,89.83,90.4,50.04,45.0,27.0,88.32
2032,C,88.71,88.06,89.17,90.28,86.15,89.02,90.39,91.06,50.54,47.5,27.75,88.83
2033,C,89.15,88.72,89.79,90.86,86.43,89.35,90.93,91.72,51.03,50.0,28.5,89.32
2034,C,89.58,89.37,90.4,91.44,86.72,89.68,91.47,92.37,51.52,52.5,29.25,89.81
2035,C,90.0,90.0,91.0,92.0,87.0,90.0,92.0,93.0,52.0,55.0,30.0,90.29
2015,D,78.0,72.0,74.0,76.0,80.0,82.0,77.0,75.0,40.0,5.0,15.0,77.0
2016,D,80.28,75.28,77.14,78.85,81.47,83.35,79.71,78.14,40.67,9.15,15.15,79.44
2017,D,81.58,77.15,78.93,80.48,82.39,84.19,81.25,79.93,40.95,13.3,15.3,80.85
2018,D,82.66,78.7,80.41,81.83,83.18,84.92,82.54,81.41,41.16,17.45,15.45,82.03
2019,D,83.62,80.08,81.73,83.03,83.89,85.57,83.67,82.73,41.34,21.6,15.6,83.08
2020,D,84.5,81.34,82.93,84.12,84.55,86.17,84.72,83.93,41.5,25.75,15.75,84.05
2021,D,85.32,82.52,84.06,85.14,85.17,86.74,85.69,85.06,41.64,29.9,15.9,84.95
2022,D,86.09,83.62,85.12,86.11,85.75,87.28,86.6,86.12,41.77,34.05,16.05,85.8
2023,D,86.82,84.68,86.13,87.02,86.32,87.79,87.47,87.13,41.9,38.2,16.2,86.6
2024,D,87.52,85.69,87.09,87.9,86.86,88.29,88.31,88.09,42.01,42.35,16.35,87.38
2025,D,88.2,86.66,88.02,88.75,87.39,88.77,89.11,89.02,42.12,46.5,16.5,88.13
2026,D,88.85,87.59,88.92,89.56,87.9,89.24,89.88,89.92,42.22,50.65,16.65,88.85
2027,D,89.48,88.5,89.78,90.35,88.39,89.69,90.63,90.78,42.32,54.8,16.8,89.55
2028,D,90.09,89.38,90.63,91.12,88.88,90.14,91.36,91.63,42.42,58.95,16.95,90.23
2029,D,90.69,90.24,91.45,91.86,89.35,90.57,92.07,92.45,42.51,63.1,17.1,90.89
2030,D,91.27,91.08,92.25,92.59,89.81,90.99,92.76,93.25,42.6,67.25,17.25,91.54
2031,D,91.84,91.89,93.03,93.3,90.26,91.41,93.43,94.03,42.68,71.4,17.4,92.17
2032,D,92.4,92.69,93.79,94.0,90.71,91.82,94.1,94.79,42.77,75.55,17.55,92.79
2033,D,92.94,93.48,94.54,94.68,91.15,92.22,94.74,95.54,42.85,79.7,17.7,93.39
2034,D,93.48,94.25,95.28,95.34,91.58,92.61,95.38,96.28,42.92,83.85,17.85,93.99
2035,D,94.0,95.0,96.0,96.0,92.0,93.0,96.0,97.0,43.0,88.0,18.0,94.57
